assembly_accession	species	subsp	strain
GCF_014152565.1	Campylobacter jejuni		C34
GCF_015245165.1	Campylobacter jejuni		R4B202
GCF_016350125.1	Campylobacter jejuni		RM1221
GCF_016458845.1	Campylobacter jejuni		CJP19-D445 CFSAN091031
GCF_016458865.1	Campylobacter jejuni		CJP19-D996 CFSAN091032
GCF_016600925.1	Campylobacter jejuni		RM1221
GCF_017351955.1	Campylobacter jejuni		CAMSA2038
GCF_017352015.1	Campylobacter jejuni		CAMSA2002
GCF_017356685.1	Campylobacter jejuni		RM1245
GCF_017356745.1	Campylobacter jejuni		RM1510
GCF_017356765.1	Campylobacter jejuni		RM3147
GCF_017356785.1	Campylobacter jejuni		R12
GCF_017356805.1	Campylobacter jejuni		GB03
GCF_017356825.1	Campylobacter jejuni		R23
GCF_017356845.1	Campylobacter jejuni		R31
GCF_017356865.1	Campylobacter jejuni		GB28
GCF_017356885.1	Campylobacter jejuni		GB60
GCF_017356905.1	Campylobacter jejuni		R73
GCF_017356945.1	Campylobacter jejuni		GB18
GCF_017356965.1	Campylobacter jejuni		R72
GCF_017357025.1	Campylobacter jejuni		RM1477
GCF_018176755.1	Campylobacter jejuni		CC19PF065
GCF_900638175.1	Campylobacter jejuni		NCTC13266
GCF_900638185.1	Campylobacter jejuni		NCTC13265
GCF_900638195.1	Campylobacter jejuni		NCTC13261
GCF_900638205.1	Campylobacter jejuni		NCTC13255
GCF_900638225.1	Campylobacter jejuni		NCTC13257
GCF_900638285.1	Campylobacter jejuni		NCTC12851
GCF_000737085.1	Campylobacter jejuni	jejuni	MTVDSCj20
GCF_000835285.1	Campylobacter jejuni	jejuni	00-1597
GCF_000835305.1	Campylobacter jejuni	jejuni	00-6200
GCF_000835345.1	Campylobacter jejuni	jejuni	01-1512
GCF_000835365.1	Campylobacter jejuni	jejuni	00-0949
GCF_000934305.1	Campylobacter jejuni	jejuni	35925
GCF_001299565.1	Campylobacter jejuni	jejuni	RM3197
GCF_001299595.1	Campylobacter jejuni	jejuni	RM3196
GCF_001686905.1	Campylobacter jejuni	jejuni	RM1285
GCF_001721945.1	Campylobacter jejuni	jejuni	MTVDSCj07
GCF_001721965.1	Campylobacter jejuni	jejuni	MTVDSCj13
GCF_001721985.1	Campylobacter jejuni	jejuni	MTVDSCj16
GCF_002028305.1	Campylobacter jejuni	jejuni	ATCC 35925
GCF_003574945.1	Campylobacter jejuni	jejuni	HPC5
GCF_003950275.1	Campylobacter jejuni	jejuni	CLB104
GCF_003971585.1	Campylobacter jejuni	jejuni	huA17
GCF_009498375.1	Campylobacter jejuni	jejuni	NADC 20827
GCF_013393785.1	Campylobacter jejuni	jejuni	LDG17f
GCF_013393805.1	Campylobacter jejuni	jejuni	9090
GCF_013465595.1	Campylobacter jejuni	jejuni	OBT12377
GCF_013465795.1	Campylobacter jejuni	jejuni	OBT12386
GCF_013466015.1	Campylobacter jejuni	jejuni	OBT12393
GCF_013466235.1	Campylobacter jejuni	jejuni	OBT12390
GCF_017356925.1	Campylobacter jejuni	jejuni	GB26
GCF_017357085.1	Campylobacter jejuni	jejuni	GB19
GCF_900475265.1	Campylobacter jejuni	jejuni	NCTC11168
GCF_900638235.1	Campylobacter jejuni	jejuni	NCTC12109
GCF_900638365.1	Campylobacter jejuni	jejuni	NCTC10983
GCF_000009085.1	Campylobacter jejuni	jejuni NCTC 11168 = ATCC 700819	NCTC 11168
GCF_000011865.1	Campylobacter jejuni		RM1221
GCF_000015525.1	Campylobacter jejuni	jejuni 81-176	81-176
GCF_000017905.1	Campylobacter jejuni	jejuni 81116	81116; NCTC 11828
GCF_000171795.2	Campylobacter jejuni	jejuni CG8421	CG8421
GCF_000025425.1	Campylobacter jejuni	jejuni IA3902	IA3902
GCF_000148705.1	Campylobacter jejuni	jejuni M1	M1
GCF_000163975.1	Campylobacter jejuni	jejuni 1336	1336
GCF_000184205.1	Campylobacter jejuni	jejuni S3	S3
GCF_000302555.5	Campylobacter jejuni	jejuni PT14	PT14
GCF_000304375.1	Campylobacter jejuni	jejuni NCTC 11168-BN148	NCTC 11168-BN148
GCF_000632435.1	Campylobacter jejuni	jejuni R14	R14
GCF_000430385.1	Campylobacter jejuni		32488 NYCB-10-03-5511-C
GCF_001767215.1	Campylobacter jejuni	jejuni	RM3420
GCF_000493495.1	Campylobacter jejuni		4031
GCF_000468915.2	Campylobacter jejuni	jejuni 00-2425	00-2425
GCF_000466105.2	Campylobacter jejuni	jejuni 00-2426	00-2426
GCF_000466065.2	Campylobacter jejuni	jejuni 00-2538	00-2538
GCF_000466075.2	Campylobacter jejuni	jejuni 00-2544	00-2544
GCF_000830775.1	Campylobacter jejuni	jejuni NCTC 11168-K12E5	NCTC 11168-K12E5
GCF_000830825.1	Campylobacter jejuni	jejuni NCTC 11168-mcK12E5	NCTC 11168-mcK12E5
GCF_000830845.1	Campylobacter jejuni	jejuni NCTC 11168-mfK12E5	NCTC 11168-mfK12E5
GCF_000830805.1	Campylobacter jejuni	jejuni NCTC 11168-Kf1	NCTC 11168-Kf1
GCF_000830865.1	Campylobacter jejuni	jejuni NCTC 11168-GSv	NCTC 11168-rNRC
GCF_000772225.1	Campylobacter jejuni	jejuni F38011	F38011
