assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000635895.2	0.2834153233115641	0.2837202544671136	0.2840251856226631	+	False
GCF_000635895.2	-0.2149648821156879	-0.2146888160307001	-0.2144127499457123	-	False
GCF_000635895.2	0.0033976919601588	0.0037026231157082	0.0040075542712577	+	False
GCF_000635895.2	0.0111607555372234	0.0114656866927729	0.0117706178483224	+	False
GCF_000635895.2	0.0321139101689723	0.0324188413245218	0.0327237724800713	+	True
GCF_000635895.2	0.034359115711445	0.0346640468669945	0.034968978022544	+	True
GCF_000635895.2	0.0592124794107574	0.0595174105663069	0.0598223417218563	+	False
GCF_000635895.2	0.094429570340009	0.0947345014955585	0.095039432651108	+	False
GCF_000635895.2	0.1025189947927746	0.1028239259483241	0.1031288571038736	+	True
GCF_000635895.2	0.105377208293341	0.1056821394488904	0.10598707060444	+	True
GCF_000635895.2	0.1094716610628276	0.1097765922183771	0.1100815233739266	+	False
GCF_000635895.2	0.1142903990528456	0.1145953302083953	0.1149002613639446	+	True
GCF_000635895.2	0.1171014278484914	0.117406359004041	0.1177112901595904	+	True
GCF_000635895.2	0.2021298389389418	0.2024347700944913	0.2027397012500408	+	False
GCF_000789315.1	0.169863148602118	0.1701357259173546	0.1704083032325911	+	False
GCF_000789315.1	-0.311981861915531	-0.3116848266829064	-0.3113877914502816	-	False
GCF_000789315.1	-0.2230923949799707	-0.2227955510127888	-0.2224987070456068	-	False
GCF_000789315.1	-0.1424369053557384	-0.1421402526539992	-0.1418435999522601	-	True
GCF_000789315.1	-0.1391609108519421	-0.1388642581502031	-0.1385676054484639	-	True
GCF_000789315.1	-0.1343632084854531	-0.1340665557837139	-0.1337699030819748	-	True
GCF_000789315.1	-0.1315925372814601	-0.1312958845797209	-0.1309992318779818	-	True
GCF_000789315.1	-0.1237414733865612	-0.1234448206848221	-0.1231481679830829	-	False
GCF_000789315.1	-0.0849486337526892	-0.08465198105095	-0.0843553283492109	-	False
GCF_000789315.1	-0.0608212632087914	-0.0605249930379379	-0.0602287228670842	-	True
GCF_000789315.1	-0.0586393070376502	-0.0583430368667966	-0.058046766695943	-	True
GCF_000789315.1	-0.0381746697228334	-0.0378778257556514	-0.0375809817884696	-	False
GCF_000789315.1	-0.0306105039920923	-0.0303138512903531	-0.030017198588614	-	False
GCF_000832525.1	0.2112539233463821	0.2115410245607591	0.2118281257751362	+	False
GCF_000832525.1	-0.2889091063291725	-0.2886099567466712	-0.2883108071641699	-	False
GCF_000832525.1	-0.1991233683626186	-0.198824411531137	-0.1985254546996553	-	False
GCF_000832525.1	-0.1186328555678059	-0.1183338987363242	-0.1180349419048426	-	True
GCF_000832525.1	-0.115841820803232	-0.1155428639717504	-0.1152439071402687	-	True
GCF_000832525.1	-0.1125396103345386	-0.112240653503057	-0.1119416966715753	-	True
GCF_000832525.1	-0.1077038727534868	-0.1074049159220051	-0.1071059590905235	-	True
GCF_000832525.1	-0.1049340406010747	-0.1046352765206127	-0.1043365124401508	-	True
GCF_000832525.1	-0.0970200692361662	-0.0967214979067239	-0.0964229265772815	-	False
GCF_000832525.1	-0.0581271539926446	-0.0578281971611629	-0.0575292403296813	-	False
GCF_000832525.1	-0.0338123838675106	-0.033513427036029	-0.0332144702045473	-	True
GCF_000832525.1	-0.0316088542108387	-0.0313098973793571	-0.0310109405478755	-	True
GCF_000832525.1	-0.0110716185688622	-0.0107726617373805	-0.0104737049058989	-	False
GCF_000832525.1	-0.0035404507289843	-0.0032414938975027	-0.002942537066021	-	False
GCF_000832765.1	-0.2937079615913905	-0.2934081842499961	-0.2931084069086017	-	False
GCF_000832765.1	-0.1986354429205387	-0.1983356655791444	-0.1980358882377499	-	False
GCF_000832765.1	-0.1182096856493436	-0.1179101015879887	-0.1176105175266339	-	True
GCF_000832765.1	-0.1153487545034249	-0.1150489771620305	-0.1147491998206361	-	True
GCF_000832765.1	-0.1114823805915915	-0.1111826032501971	-0.1108828259088027	-	True
GCF_000832765.1	-0.1087022405022188	-0.1084024631608244	-0.10810268581943	-	True
GCF_000832765.1	-0.10077080079786	-0.1004712167365051	-0.1001716326751503	-	False
GCF_000832765.1	-0.0582982852194888	-0.0579985078780944	-0.0576987305367	-	False
GCF_000832765.1	-0.0339179410263943	-0.0336181636849999	-0.0333183863436055	-	True
GCF_000832765.1	-0.0317095232941103	-0.0314099392327555	-0.0311103551714007	-	True
GCF_000832765.1	-0.0110969801926615	-0.0107972028512671	-0.0104974255098727	-	False
GCF_000832765.1	-0.0034442503053824	-0.003144472963988	-0.0028446956225936	-	False
GCF_000832765.1	0.2073801326417967	0.207669431993416	0.2079587313450352	+	False
GCF_000835185.1	-0.2937031339383725	-0.2934033844060668	-0.2931036348737612	-	False
GCF_000835185.1	-0.1986394347469812	-0.1983396852146755	-0.1980399356823698	-	False
GCF_000835185.1	-0.1182215247607415	-0.1179219684905455	-0.1176224122203497	-	True
GCF_000835185.1	-0.1154482134850569	-0.1151484639527512	-0.1148487144204455	-	True
GCF_000835185.1	-0.1115821982405417	-0.111282448708236	-0.1109826991759303	-	True
GCF_000835185.1	-0.1088023160531238	-0.108502759782928	-0.1082032035127321	-	True
GCF_000835185.1	-0.1008719986394347	-0.1005724423692389	-0.1002728860990429	-	False
GCF_000835185.1	-0.0584030365342692	-0.0581032870019635	-0.0578035374696578	-	False
GCF_000835185.1	-0.0340253405278374	-0.0337255909955317	-0.033425841463226	-	True
GCF_000835185.1	-0.0318171276612192	-0.0315175713910234	-0.0312180151208274	-	True
GCF_000835185.1	-0.0112064966990831	-0.0109067471667774	-0.0106069976344717	-	False
GCF_000835185.1	-0.0035544767235114	-0.0032547271912057	-0.0029549776589001	-	False
GCF_000835185.1	0.2072922014680974	0.2075811339566278	0.2078700664451579	+	False
GCF_000978375.1	0.0028957739282668	0.0031871170369035	0.00347846014554	+	False
GCF_000978375.1	0.0103129073825705	0.0106042504912071	0.0108955935998437	+	False
GCF_000978375.1	0.0303308650880415	0.0306222081966782	0.0309135513053148	+	True
GCF_000978375.1	0.0324760219549855	0.0327673650636222	0.0330587081722587	+	True
GCF_000978375.1	0.0562245239141786	0.0565158670228154	0.0568072101314519	+	False
GCF_000978375.1	0.0919618605385057	0.0922532036471424	0.0925445467557789	+	False
GCF_000978375.1	0.0996889334700823	0.099980276578719	0.1002716196873556	+	True
GCF_000978375.1	0.1024205333964482	0.1027118765050849	0.1030032196137214	+	True
GCF_000978375.1	0.1063317817575258	0.1066231248661624	0.1069144679747991	+	False
GCF_000978375.1	0.1113257520258771	0.1116170951345136	0.1119084382431503	+	True
GCF_000978375.1	0.113996491109433	0.1142878342180697	0.1145791773267062	+	True
GCF_000978375.1	0.194935401099252	0.1952267442078885	0.1955180873165252	+	False
GCF_000978375.1	0.2729751560028702	0.2732664991115068	0.2735578422201434	+	False
GCF_000978375.1	-0.2168169068686851	-0.2165283816881197	-0.2162398565075543	-	False
GCF_001277915.1	-0.0113850291691075	-0.0110886850712751	-0.0107923409734426	-	False
GCF_001277915.1	-0.003846370948057	-0.0035500268502245	-0.0032536827523921	-	False
GCF_001277915.1	-0.2783533031878539	-0.2780571497876392	-0.2777609963874243	-	False
GCF_001277915.1	-0.1938239143966022	-0.1935275702987697	-0.1932312262009373	-	False
GCF_001277915.1	-0.1105012601298574	-0.1102049160320249	-0.1099085719341925	-	False
GCF_001277915.1	-0.1025640438879125	-0.1022676997900801	-0.1019713556922476	-	False
GCF_001277915.1	-0.0669474498388986	-0.0666511057410661	-0.0663547616432337	-	False
GCF_001277915.1	-0.0427650849443468	-0.0424687408465143	-0.0421723967486818	-	False
GCF_001277915.1	-0.0357607614479593	-0.0354644173501269	-0.0351680732522944	-	False
GCF_001277915.1	-0.0317042417252489	-0.0314078976274164	-0.031111553529584	-	False
GCF_001518875.1	0.0164502106032154	0.0167588755063474	0.0170675404094795	+	False
GCF_001518875.1	0.0242919676017054	0.0246006325048375	0.0249092974079695	+	False
GCF_001518875.1	0.0454599444720976	0.0457686093752296	0.0460772742783617	+	True
GCF_001518875.1	0.0477274596163418	0.0480361245194738	0.0483447894226059	+	True
GCF_001518875.1	0.0728397528615063	0.0731484177646384	0.0734570826677705	+	False
GCF_001518875.1	0.1105862527723232	0.1108949176754552	0.1112035825785874	+	False
GCF_001518875.1	0.1262526849278173	0.1265613498309492	0.1268700147340814	+	True
GCF_001518875.1	0.129141899651729	0.1294505645548611	0.1297592294579931	+	True
GCF_001518875.1	0.1332768970477413	0.1335855619508734	0.1338942268540054	+	False
GCF_001518875.1	0.1385571723275757	0.1388658372307076	0.1391745021338398	+	False
GCF_001518875.1	-0.3437393593923394	-0.3434715779461128	-0.3432037964998862	-	False
GCF_001518875.1	-0.271694088130079	-0.2714263066838525	-0.2711585252376259	-	False
GCF_001518875.1	-0.197240507027109	-0.1969727255808824	-0.1967049441346558	-	True
GCF_001518875.1	-0.1947915302486197	-0.1945237488023932	-0.1942559673561665	-	True
GCF_001635915.1	0.0030872851836327	0.0033675040108691	0.0036477228381054	+	False
GCF_001635915.1	0.0102212120774133	0.0105014309046496	0.010781649731886	+	False
GCF_001635915.1	0.029474106407273	0.0297543252345093	0.0300345440617457	+	True
GCF_001635915.1	0.031537355283507	0.0318175741107433	0.0320977929379796	+	True
GCF_001635915.1	0.0543667885585442	0.0546470073857805	0.0549272262130169	+	False
GCF_001635915.1	0.0880526688539754	0.0883328876812117	0.0886131065084481	+	False
GCF_001635915.1	0.0964050327373639	0.0966852515646001	0.0969654703918366	+	True
GCF_001635915.1	0.0990272739098385	0.0993069507277377	0.0995866275456371	+	True
GCF_001635915.1	0.1016097677309321	0.1018894445488314	0.1021691213667307	+	True
GCF_001635915.1	0.1042298408660586	0.1045098790235159	0.1047899171809733	+	True
GCF_001635915.1	0.1073644615317906	0.1076446803590269	0.1079248991862633	+	True
GCF_001635915.1	0.111126729009785	0.1114069478370214	0.1116871666642577	+	True
GCF_001635915.1	0.1137106681891106	0.113990887016347	0.1142711058435833	+	True
GCF_001635915.1	0.1930590284301964	0.1933392472574326	0.1936194660846691	+	False
GCF_001635915.1	0.2879561911919869	0.2882364100192234	0.2885166288464596	+	False
GCF_001635915.1	-0.2132315192742117	-0.2129499597357153	-0.2126684001972187	-	False
GCF_001635955.1	0.0031028307609599	0.00338452652953	0.0036662222980998	+	False
GCF_001635955.1	0.0102743582385569	0.0105560540071267	0.0108377497756967	+	False
GCF_001635955.1	0.0296287282462213	0.0299104240147913	0.0301921197833612	+	True
GCF_001635955.1	0.0317039415612956	0.0319856373298654	0.0322673330984355	+	True
GCF_001635955.1	0.0546537012753498	0.0549353970439199	0.0552170928124897	+	False
GCF_001635955.1	0.0885171287736517	0.0887988245422217	0.0890805203107916	+	False
GCF_001635955.1	0.0969135152217423	0.0971952109903122	0.0974769067588822	+	True
GCF_001635955.1	0.0995495773655361	0.099831273134106	0.100112968902676	+	True
GCF_001635955.1	0.102701082830543	0.1029827785991128	0.1032644743676829	+	True
GCF_001635955.1	0.1064831799837993	0.1067648757523693	0.1070465715209392	+	True
GCF_001635955.1	0.1090807382572276	0.1093624340257974	0.1096441297943675	+	True
GCF_001635955.1	0.1888473176242385	0.1891290133928085	0.1894107091613784	+	True
