assembly_accession	species	subsp	strain
GCF_003411785.2	Pseudomonas aeruginosa		PABL048
GCF_003429185.1	Pseudomonas aeruginosa		PABL012
GCF_003429205.1	Pseudomonas aeruginosa		PABL017
GCF_003433235.1	Pseudomonas aeruginosa		24Pae112
GCF_003441555.1	Pseudomonas aeruginosa		WPB099
GCF_003441575.1	Pseudomonas aeruginosa		WPB098
GCF_003571505.1	Pseudomonas aeruginosa		N15-01092
GCF_003571805.1	Pseudomonas aeruginosa		AR_0111
GCF_003626935.1	Pseudomonas aeruginosa		BA7823
GCF_003665495.1	Pseudomonas aeruginosa		6762
GCF_003716765.1	Pseudomonas aeruginosa		SP4528
GCF_003795165.1	Pseudomonas aeruginosa		BH9
GCF_003798105.1	Pseudomonas aeruginosa		H26027
GCF_003798125.1	Pseudomonas aeruginosa		H25883
GCF_003798145.1	Pseudomonas aeruginosa		H26023
GCF_003812885.1	Pseudomonas aeruginosa		FDAARGOS_571
GCF_003812905.1	Pseudomonas aeruginosa		FDAARGOS_501
GCF_003813005.1	Pseudomonas aeruginosa		FDAARGOS_505
GCF_003813025.1	Pseudomonas aeruginosa		FDAARGOS_570
GCF_003950015.1	Pseudomonas aeruginosa		IMP-13
GCF_003950255.1	Pseudomonas aeruginosa		SP4371
GCF_003952325.1	Pseudomonas aeruginosa		B17932
GCF_003957825.1	Pseudomonas aeruginosa		GIMC5015:PAKB6
GCF_003991465.1	Pseudomonas aeruginosa		SP4527
GCF_004000495.1	Pseudomonas aeruginosa		GIMC5016:PA1840
GCF_004010895.1	Pseudomonas aeruginosa		LW
GCF_004102665.1	Pseudomonas aeruginosa		PAO1161
GCF_004193735.1	Pseudomonas aeruginosa		1334/14
GCF_004355145.1	Pseudomonas aeruginosa		AES1R
GCF_005154325.1	Pseudomonas aeruginosa		PRD-10
GCF_005305005.1	Pseudomonas aeruginosa		PA298
GCF_006364735.1	Pseudomonas aeruginosa		FDAARGOS_767
GCF_006364795.1	Pseudomonas aeruginosa		FDAARGOS_610
GCF_006971785.1	Pseudomonas aeruginosa		AZPAE15042
GCF_007559065.1	Pseudomonas aeruginosa		60503
GCF_007559085.1	Pseudomonas aeruginosa		A681
GCF_007559105.1	Pseudomonas aeruginosa		519119
GCF_007559125.1	Pseudomonas aeruginosa		243931
GCF_007567125.1	Pseudomonas aeruginosa		SCAID WND3-2019
GCF_007567285.1	Pseudomonas aeruginosa		SCAID WND1-2019
GCF_007833895.1	Pseudomonas aeruginosa		C79
GCF_008033725.1	Pseudomonas aeruginosa		IMP67
GCF_008033745.1	Pseudomonas aeruginosa		IMP68
GCF_008033765.1	Pseudomonas aeruginosa		IMP66
GCF_008195485.1	Pseudomonas aeruginosa		CCUG 51971
GCF_008245185.1	Pseudomonas aeruginosa		HOU1
GCF_008370085.1	Pseudomonas aeruginosa		GIMC5002:PAT-169
GCF_008705235.1	Pseudomonas aeruginosa		E90
GCF_009497675.1	Pseudomonas aeruginosa		PA59
GCF_009648875.1	Pseudomonas aeruginosa		CFSAN084950
GCF_009662315.1	Pseudomonas aeruginosa		AG1
GCF_009664165.1	Pseudomonas aeruginosa		ST773
GCF_009676765.1	Pseudomonas aeruginosa		1811-13R031
GCF_009676785.1	Pseudomonas aeruginosa		1811-18R001
GCF_009676885.1	Pseudomonas aeruginosa		KRP1
GCF_009720405.1	Pseudomonas aeruginosa		T2436
GCF_009720425.1	Pseudomonas aeruginosa		T2101
GCF_009867055.1	Pseudomonas aeruginosa		YB01
GCF_009905195.1	Pseudomonas aeruginosa		INP-43
GCF_011045375.1	Pseudomonas aeruginosa		MS14403
GCF_011106815.1	Pseudomonas aeruginosa		PAG5
GCF_011466835.1	Pseudomonas aeruginosa		CF39S
GCF_012935295.1	Pseudomonas aeruginosa		AA2
GCF_012971705.1	Pseudomonas aeruginosa		LYT4
GCF_013114915.1	Pseudomonas aeruginosa		GIMC5019:PA52Ts1
GCF_013114935.1	Pseudomonas aeruginosa		GIMC5020:PA52Ts2
GCF_013114955.1	Pseudomonas aeruginosa		GIMC5021:PA52Ts17
GCF_013200975.1	Pseudomonas aeruginosa		SCAID PHRX1-2019
GCF_013201015.1	Pseudomonas aeruginosa		K19PSE24
GCF_013201095.1	Pseudomonas aeruginosa		PAC6
GCF_013255565.1	Pseudomonas aeruginosa		PSE6684
GCF_013260445.1	Pseudomonas aeruginosa		YD001
GCF_013305645.2	Pseudomonas aeruginosa		YT12746
GCF_013305765.1	Pseudomonas aeruginosa		LIUYANG-E
GCF_013305815.1	Pseudomonas aeruginosa		LIUYANG-C
GCF_013305845.1	Pseudomonas aeruginosa		LIUYANG-A
GCF_013341295.1	Pseudomonas aeruginosa		PAAK088
GCF_013343315.1	Pseudomonas aeruginosa		DVT729
GCF_013343355.1	Pseudomonas aeruginosa		DVT427
GCF_013343415.1	Pseudomonas aeruginosa		DVT421
GCF_013343435.1	Pseudomonas aeruginosa		DVT419
GCF_013343455.1	Pseudomonas aeruginosa		DVT417
GCF_013343475.1	Pseudomonas aeruginosa		DVT779
GCF_013343495.1	Pseudomonas aeruginosa		DVT414
GCF_013343515.1	Pseudomonas aeruginosa		DVT413
GCF_013343555.1	Pseudomonas aeruginosa		DVT410
GCF_013343575.1	Pseudomonas aeruginosa		DVT401
GCF_013347245.1	Pseudomonas aeruginosa		CDN118
GCF_013375755.1	Pseudomonas aeruginosa		PABCH05
GCF_013375775.1	Pseudomonas aeruginosa		PABCH09
GCF_013375795.1	Pseudomonas aeruginosa		PABCH13
GCF_013375815.1	Pseudomonas aeruginosa		PABCH10
GCF_013375855.1	Pseudomonas aeruginosa		PABCH14
GCF_013375875.1	Pseudomonas aeruginosa		PABCH46
GCF_013375895.1	Pseudomonas aeruginosa		PABCH42
GCF_013375915.1	Pseudomonas aeruginosa		PABCH01
GCF_013376775.1	Pseudomonas aeruginosa		CDN129
GCF_013393685.1	Pseudomonas aeruginosa		SE5369
GCF_013394455.1	Pseudomonas aeruginosa		SE5443
GCF_013394475.2	Pseudomonas aeruginosa		SE5458
GCF_013395035.1	Pseudomonas aeruginosa		B18
GCF_013467585.1	Pseudomonas aeruginosa		ACR20
GCF_013467605.1	Pseudomonas aeruginosa		ACR22
GCF_014109785.1	Pseudomonas aeruginosa		GIMC5034:PA52Ts32
GCF_014155905.1	Pseudomonas aeruginosa		401853
GCF_014217315.1	Pseudomonas aeruginosa		JNQH-PA57
GCF_014467035.1	Pseudomonas aeruginosa		NRD619
GCF_014490645.1	Pseudomonas aeruginosa		PA3
