assembly_accession	species	subsp	strain
GCF_014170035.1	Klebsiella pneumoniae		IDR1900025266-01-00
GCF_014170935.1	Klebsiella pneumoniae		WP4-S18-CRE-04
GCF_014189335.1	Klebsiella pneumoniae		N16-03892
GCF_014304835.1	Klebsiella pneumoniae		ent1077
GCF_014361115.1	Klebsiella pneumoniae		KP120
GCF_014490685.2	Klebsiella pneumoniae		COL17
GCF_014495765.1	Klebsiella pneumoniae		HKP0067
GCF_014495785.1	Klebsiella pneumoniae		HKP0018
GCF_014524525.1	Klebsiella pneumoniae		P35
GCF_014725755.1	Klebsiella pneumoniae		KP3020
GCF_014764345.1	Klebsiella pneumoniae		C39
GCF_014788765.1	Klebsiella pneumoniae		C0674
GCF_014826045.1	Klebsiella pneumoniae		NICU_2_P7
GCF_014840955.1	Klebsiella pneumoniae		HC139
GCF_014854815.1	Klebsiella pneumoniae		GZ-1
GCF_014883955.1	Klebsiella pneumoniae		33Kpn12
GCF_014905815.1	Klebsiella pneumoniae		M941
GCF_014961485.1	Klebsiella pneumoniae		KP19-3088
GCF_015022235.1	Klebsiella pneumoniae		BTS
GCF_015024285.2	Klebsiella pneumoniae		2016-1400
GCF_015138775.1	Klebsiella pneumoniae		THO-004
GCF_015178905.2	Klebsiella pneumoniae		SAWA
GCF_015219805.1	Klebsiella pneumoniae		HKU57
GCF_015238555.1	Klebsiella pneumoniae		KP19-3023
GCF_015238655.1	Klebsiella pneumoniae		ZRKP04
GCF_015238895.1	Klebsiella pneumoniae		ZRKP03
GCF_015239135.1	Klebsiella pneumoniae		ZRKP02
GCF_015239295.1	Klebsiella pneumoniae		ZRKP01
GCF_015243235.1	Klebsiella pneumoniae		FRPDR
GCF_015277755.1	Klebsiella pneumoniae		CRKP66R
GCF_015277915.1	Klebsiella pneumoniae		M1026-3Ar
GCF_015277935.1	Klebsiella pneumoniae		N1059-5At
GCF_015277955.1	Klebsiella pneumoniae		M1023-4Ar
GCF_015277975.1	Klebsiella pneumoniae		M63-1
GCF_015277995.1	Klebsiella pneumoniae		S130-1
GCF_015278055.1	Klebsiella pneumoniae		S141
GCF_015278095.1	Klebsiella pneumoniae		S90-2
GCF_015283665.1	Klebsiella pneumoniae		BM334-2
GCF_015283885.1	Klebsiella pneumoniae		BS361-1
GCF_015284665.1	Klebsiella pneumoniae		BS433-2
GCF_015284925.1	Klebsiella pneumoniae		S183-1
GCF_015285145.1	Klebsiella pneumoniae		M186-2
GCF_015286225.1	Klebsiella pneumoniae		BM327-1
GCF_015286445.1	Klebsiella pneumoniae		M212-2
GCF_015287605.1	Klebsiella pneumoniae		BM336-2-1
GCF_015288205.1	Klebsiella pneumoniae		BM337-1
GCF_015288605.1	Klebsiella pneumoniae		BM338-1
GCF_015289145.1	Klebsiella pneumoniae		S210-3
GCF_015289545.1	Klebsiella pneumoniae		BS326-3
GCF_015289765.1	Klebsiella pneumoniae		BS329-2
GCF_015289985.1	Klebsiella pneumoniae		BM343
GCF_015290145.1	Klebsiella pneumoniae		BS317-1
GCF_015290925.1	Klebsiella pneumoniae		S166-1
GCF_015290985.1	Klebsiella pneumoniae		3214
GCF_015338385.1	Klebsiella pneumoniae		M911-1
GCF_015353095.1	Klebsiella pneumoniae		19110124
GCF_015355835.1	Klebsiella pneumoniae		JX-CR-hvKP-12
GCF_015355855.1	Klebsiella pneumoniae		JX-CR-hvKP-11
GCF_015355875.1	Klebsiella pneumoniae		JX-CR-hvKP-10
GCF_015355895.1	Klebsiella pneumoniae		JX-CR-hvKP-9
GCF_015355915.1	Klebsiella pneumoniae		JX-CR-hvKP-7
GCF_015355935.1	Klebsiella pneumoniae		JX-CR-hvKP-8
GCF_015355955.1	Klebsiella pneumoniae		JX-CR-hvKP-6
GCF_015355975.1	Klebsiella pneumoniae		JX-CR-hvKP-5
GCF_015355995.1	Klebsiella pneumoniae		JX-CR-hvKP-4
GCF_015356015.1	Klebsiella pneumoniae		JX-CR-hvKP-3
GCF_015356035.1	Klebsiella pneumoniae		JX-CR-hvKP-2
GCF_015356055.1	Klebsiella pneumoniae		JX-CR-hvKP-1
GCF_015690055.1	Klebsiella pneumoniae		ENT1332
GCF_015694065.1	Klebsiella pneumoniae		KPN110
GCF_015694085.1	Klebsiella pneumoniae		KPN114
GCF_015774895.1	Klebsiella pneumoniae		ZG2017CW 1-1-1
GCF_015774955.1	Klebsiella pneumoniae		ZG2017CW4-4-2
GCF_015775135.1	Klebsiella pneumoniae		ZG2017CW4-4-1-2
GCF_015775275.1	Klebsiella pneumoniae		ZG2017CW4-3-1-2N
GCF_015832035.1	Klebsiella pneumoniae		KPNSP-1
GCF_015910145.1	Klebsiella pneumoniae		Kpn-14
GCF_015910165.1	Klebsiella pneumoniae		Kpn-13
GCF_015992265.1	Klebsiella pneumoniae		Sea Superman
GCF_015992285.1	Klebsiella pneumoniae		Magic conch shell
GCF_015992305.1	Klebsiella pneumoniae		Gordon
GCF_015992325.1	Klebsiella pneumoniae		Olaf
GCF_015992345.1	Klebsiella pneumoniae		Dirty Dan
GCF_015992385.1	Klebsiella pneumoniae		Mrs. Puff
GCF_015992405.1	Klebsiella pneumoniae		Patrick Star
GCF_015992425.1	Klebsiella pneumoniae		Ocean Ranger
GCF_016066025.1	Klebsiella pneumoniae		KpPF25
GCF_016066295.1	Klebsiella pneumoniae		KpC11
GCF_016066475.1	Klebsiella pneumoniae		KpC5
GCF_016067835.1	Klebsiella pneumoniae		Beach Ranger
GCF_016403065.1	Klebsiella pneumoniae		CRKP52R
GCF_016403085.1	Klebsiella pneumoniae		CRKP78R
GCF_016598795.1	Klebsiella pneumoniae		1970_kpn
GCF_016629585.1	Klebsiella pneumoniae		KSB1_9A
GCF_016694775.1	Klebsiella pneumoniae		LYS105A
GCF_016727425.1	Klebsiella pneumoniae		FDAARGOS_1076
GCF_016772535.1	Klebsiella pneumoniae		59493
GCF_016772555.1	Klebsiella pneumoniae		45706
GCF_016772575.1	Klebsiella pneumoniae		42362
GCF_016772595.1	Klebsiella pneumoniae		41968
GCF_016780025.1	Klebsiella pneumoniae		RIVM_C014073
GCF_016780145.1	Klebsiella pneumoniae		RIVM_C015043
GCF_016800965.1	Klebsiella pneumoniae		fekpn2511
GCF_016801375.1	Klebsiella pneumoniae		33Kpn22
GCF_016801495.1	Klebsiella pneumoniae		RIVM_C018500
GCF_016801575.1	Klebsiella pneumoniae		RIVM_C015657
GCF_016804025.1	Klebsiella pneumoniae		KPN361
GCF_016864395.1	Klebsiella pneumoniae		KP36M
GCF_016903115.1	Klebsiella pneumoniae		FDAARGOS_1327
GCF_016903155.1	Klebsiella pneumoniae		FDAARGOS_1326
GCF_016903195.1	Klebsiella pneumoniae		FDAARGOS_1305
GCF_016903235.1	Klebsiella pneumoniae		FDAARGOS_1324
GCF_016903255.1	Klebsiella pneumoniae		FDAARGOS_1311
GCF_016903295.1	Klebsiella pneumoniae		FDAARGOS_1323
GCF_016903395.1	Klebsiella pneumoniae		FDAARGOS_1313
GCF_016903455.1	Klebsiella pneumoniae		FDAARGOS_1318
GCF_016903475.1	Klebsiella pneumoniae		FDAARGOS_1315
GCF_016903495.1	Klebsiella pneumoniae		FDAARGOS_1312
GCF_016903515.1	Klebsiella pneumoniae		FDAARGOS_1330
GCF_016903735.1	Klebsiella pneumoniae		FDAARGOS_1325
GCF_016903755.1	Klebsiella pneumoniae		FDAARGOS_1317
GCF_016903775.1	Klebsiella pneumoniae		FDAARGOS_1307
GCF_016903795.1	Klebsiella pneumoniae		FDAARGOS_1308
GCF_016903875.1	Klebsiella pneumoniae		FDAARGOS_1329
GCF_016903895.1	Klebsiella pneumoniae		FDAARGOS_1321
GCF_016903955.1	Klebsiella pneumoniae		FDAARGOS_1309
GCF_016904035.1	Klebsiella pneumoniae		FDAARGOS_1322
GCF_016904095.1	Klebsiella pneumoniae		FDAARGOS_1319
GCF_016904275.1	Klebsiella pneumoniae		FDAARGOS_1328
GCF_016904295.1	Klebsiella pneumoniae		FDAARGOS_1306
GCF_016904315.1	Klebsiella pneumoniae		FDAARGOS_1316
GCF_016904415.1	Klebsiella pneumoniae		FDAARGOS_1314
GCF_016904595.1	Klebsiella pneumoniae		FDAARGOS_1310
GCF_016904635.1	Klebsiella pneumoniae		FDAARGOS_1320
GCF_016925215.1	Klebsiella pneumoniae		B960
GCF_016925235.1	Klebsiella pneumoniae		B1347
GCF_016925275.1	Klebsiella pneumoniae		B3824
GCF_016925295.1	Klebsiella pneumoniae		B3923
GCF_016925315.1	Klebsiella pneumoniae		B5617
GCF_016925355.1	Klebsiella pneumoniae		B12097
GCF_016925375.1	Klebsiella pneumoniae		B18064
GCF_016925415.1	Klebsiella pneumoniae		B28484
GCF_016925435.1	Klebsiella pneumoniae		B28906
GCF_016939535.1	Klebsiella pneumoniae		KP47693
GCF_016939675.1	Klebsiella pneumoniae		KP51069
GCF_016939695.1	Klebsiella pneumoniae		KP51248
GCF_016939755.1	Klebsiella pneumoniae		KP52810
GCF_016939775.1	Klebsiella pneumoniae		KP52813
GCF_016939815.1	Klebsiella pneumoniae		KPA4411
GCF_016939835.1	Klebsiella pneumoniae		KPA9853
GCF_017084505.1	Klebsiella pneumoniae		JNQH116
GCF_017086485.1	Klebsiella pneumoniae		JS706
GCF_017310305.1	Klebsiella pneumoniae		IR5065
GCF_017310325.1	Klebsiella pneumoniae		IR5654
GCF_017310345.1	Klebsiella pneumoniae		IR5726
GCF_017310365.1	Klebsiella pneumoniae		JNK002
GCF_017310385.1	Klebsiella pneumoniae		LZK001
GCF_017310405.1	Klebsiella pneumoniae		IR5755
GCF_017310425.1	Klebsiella pneumoniae		IR5086
GCF_017310565.1	Klebsiella pneumoniae		IR1251
GCF_017315205.1	Klebsiella pneumoniae		JS161205112
GCF_017351975.1	Klebsiella pneumoniae		C2244
GCF_017357925.1	Klebsiella pneumoniae		wxc2020
GCF_017639065.1	Klebsiella pneumoniae		ESBL_DR09
GCF_017742895.1	Klebsiella pneumoniae		B33769
GCF_017742915.1	Klebsiella pneumoniae		B4650
GCF_017742935.1	Klebsiella pneumoniae		B32278
GCF_017742955.1	Klebsiella pneumoniae		B13243
GCF_017743095.1	Klebsiella pneumoniae		KPN236
GCF_017743135.1	Klebsiella pneumoniae		KPN247
GCF_017809835.1	Klebsiella pneumoniae		KP1517
GCF_017815715.1	Klebsiella pneumoniae		KPN234
GCF_017815795.1	Klebsiella pneumoniae		M297-1
GCF_017894305.1	Klebsiella pneumoniae		KP77
GCF_018069685.1	Klebsiella pneumoniae		KP2723
GCF_018075325.1	Klebsiella pneumoniae		KP1878
GCF_018128445.1	Klebsiella pneumoniae		3347684I
GCF_018128465.1	Klebsiella pneumoniae		3347689I
GCF_018140905.1	Klebsiella pneumoniae		SW1780
GCF_018279185.1	Klebsiella pneumoniae		Kpn 1693
GCF_018279325.1	Klebsiella pneumoniae		KP2509
GCF_018314115.1	Klebsiella pneumoniae		HK31
GCF_018336355.1	Klebsiella pneumoniae		Kp7224
GCF_018336375.1	Klebsiella pneumoniae		Kp13869
GCF_018336835.1	Klebsiella pneumoniae		KP55
GCF_018394355.1	Klebsiella pneumoniae		B30155
GCF_018449045.1	Klebsiella pneumoniae		SZP4-9-2
GCF_018449065.1	Klebsiella pneumoniae		YTF44-1
GCF_018454365.1	Klebsiella pneumoniae		DD521
GCF_018487825.1	Klebsiella pneumoniae		RGF20-1
GCF_018502565.1	Klebsiella pneumoniae		RGT40-1
GCF_018502585.1	Klebsiella pneumoniae		RGF99-1
GCF_018583165.1	Klebsiella pneumoniae		RGB7-1
GCF_018583185.1	Klebsiella pneumoniae		RGF152-1
GCF_018583205.1	Klebsiella pneumoniae		RGF22-2-2
GCF_018583225.1	Klebsiella pneumoniae		RGF85-1
GCF_018583245.1	Klebsiella pneumoniae		RGF172-1
GCF_018583265.1	Klebsiella pneumoniae		RGT3-2
GCF_018583285.1	Klebsiella pneumoniae		RGT5-2
GCF_018583305.1	Klebsiella pneumoniae		RGT9-1
GCF_018583325.1	Klebsiella pneumoniae		RGT34-2
GCF_018604345.1	Klebsiella pneumoniae		2016_49
GCF_018604385.1	Klebsiella pneumoniae		GR390
GCF_018623105.1	Klebsiella pneumoniae		KP32558
GCF_900323945.1	Klebsiella pneumoniae		CNR48
GCF_900497045.1	Klebsiella pneumoniae		KP980
GCF_900497055.1	Klebsiella pneumoniae		KP9201
GCF_900497475.1	Klebsiella pneumoniae		EC-12536
GCF_900622605.1	Klebsiella pneumoniae		AJ218
GCF_900622645.1	Klebsiella pneumoniae		KPC2
GCF_900635125.1	Klebsiella pneumoniae		NCTC11359
GCF_900635995.1	Klebsiella pneumoniae		NCTC418
GCF_900636455.1	Klebsiella pneumoniae		NCTC9793
GCF_901421925.1	Klebsiella pneumoniae		NCTC11698
GCF_901422065.1	Klebsiella pneumoniae		NCTC9157
GCF_902723695.1	Klebsiella pneumoniae		Klebsiella pneumoniae kpn154
GCF_902723705.1	Klebsiella pneumoniae		Kpn2166
GCF_902827215.1	Klebsiella pneumoniae		SB5881
GCF_904863055.1	Klebsiella pneumoniae		INF022-sc-2279895
GCF_904863075.1	Klebsiella pneumoniae		INF334-sc-2280143
GCF_904863095.1	Klebsiella pneumoniae		INF174-sc-2280034
GCF_904863115.1	Klebsiella pneumoniae		INF329-sc-2280137
GCF_904863125.1	Klebsiella pneumoniae		INF357-sc-2280189
GCF_904863135.1	Klebsiella pneumoniae		INF310-sc-2280104
GCF_904863145.1	Klebsiella pneumoniae		INF072-sc-2279995
GCF_904863195.1	Klebsiella pneumoniae		INF133-sc-2279960
GCF_904863205.1	Klebsiella pneumoniae		INF008-sc-2279879
GCF_904863215.1	Klebsiella pneumoniae		INF277
GCF_904863225.1	Klebsiella pneumoniae		KSB1_6J
GCF_904863245.1	Klebsiella pneumoniae		INF355-sc-2280185
GCF_904863265.1	Klebsiella pneumoniae		INF156-sc-2280002
GCF_904863275.1	Klebsiella pneumoniae		INF188-sc-2280054
GCF_904863285.1	Klebsiella pneumoniae		INF231-sc-2280121
GCF_904863295.1	Klebsiella pneumoniae		KSB2_2B-sc-2280339
GCF_904863325.1	Klebsiella pneumoniae		INF354-sc-2280183
GCF_904863335.1	Klebsiella pneumoniae		KSB1_5B
GCF_904863355.1	Klebsiella pneumoniae		INF148-sc-2279987
GCF_904863365.1	Klebsiella pneumoniae		INF049-sc-2279950
GCF_904863395.1	Klebsiella pneumoniae		INF250-sc-2280154
GCF_904863405.1	Klebsiella pneumoniae		INF215-sc-2280087
GCF_904863425.1	Klebsiella pneumoniae		INF348-sc-2280170
GCF_904863435.1	Klebsiella pneumoniae		KSB1_1B
GCF_904864445.1	Klebsiella pneumoniae		KSB1_6G-sc-2280276
GCF_904864465.1	Klebsiella pneumoniae		INF298
GCF_904864505.1	Klebsiella pneumoniae		INF331-sc-2280141
GCF_904864515.1	Klebsiella pneumoniae		KSB2_2C-sc-2280354
GCF_904864525.1	Klebsiella pneumoniae		INF350-sc-2280174
GCF_904864535.1	Klebsiella pneumoniae		INF313-sc-2280106
GCF_904864545.1	Klebsiella pneumoniae		KSB1_9J-sc-2280309
GCF_904864565.1	Klebsiella pneumoniae		INF032-sc-2279918
GCF_904864595.1	Klebsiella pneumoniae		INF333
GCF_904864605.1	Klebsiella pneumoniae		INF044-sc-2279940
GCF_904864625.1	Klebsiella pneumoniae		INF171-sc-2280028
GCF_904864645.1	Klebsiella pneumoniae		INF079-sc-2280008
GCF_904865675.1	Klebsiella pneumoniae		INF358-sc-2280191
GCF_904865685.1	Klebsiella pneumoniae		INF182-sc-2280049
GCF_904865695.1	Klebsiella pneumoniae		INF319-sc-2280116
GCF_904865715.1	Klebsiella pneumoniae		KSB1_5H-sc-2280283
GCF_904865735.1	Klebsiella pneumoniae		INF361-sc-2280198
GCF_904865745.1	Klebsiella pneumoniae		INF247-sc-2280148
GCF_904865755.1	Klebsiella pneumoniae		INF341-sc-2280155
GCF_904865765.1	Klebsiella pneumoniae		KSB2_9A-sc-2280332
GCF_904865785.1	Klebsiella pneumoniae		INF142-sc-2279977
GCF_904865795.1	Klebsiella pneumoniae		KSB2_10B-sc-2280350
GCF_904865805.1	Klebsiella pneumoniae		INF144-sc-2279979
GCF_904865815.1	Klebsiella pneumoniae		INF281-sc-2280206
GCF_904865825.1	Klebsiella pneumoniae		INF018-sc-2279888
GCF_904865845.1	Klebsiella pneumoniae		INF302-sc-2280090
GCF_904866195.1	Klebsiella pneumoniae		INF327-sc-2280132
GCF_904866205.1	Klebsiella pneumoniae		INF145-sc-2279981
GCF_904866215.1	Klebsiella pneumoniae		INF359-sc-2280194
GCF_904866235.1	Klebsiella pneumoniae		INF122-sc-2279936
GCF_904866255.1	Klebsiella pneumoniae		INF223-sc-2280103
GCF_904866285.1	Klebsiella pneumoniae		INF344-sc-2280162
GCF_904866295.1	Klebsiella pneumoniae		KSB2_1C-sc-2280352
GCF_904866315.1	Klebsiella pneumoniae		INF346-sc-2280166
GCF_904866325.1	Klebsiella pneumoniae		INF299-sc-2280084
GCF_904866335.1	Klebsiella pneumoniae		INF266-sc-2280182
GCF_904866375.1	Klebsiella pneumoniae		INF242-sc-2280140
GCF_904866395.1	Klebsiella pneumoniae		INF321-sc-2280120
GCF_904866405.1	Klebsiella pneumoniae		INF279-sc-2280202
GCF_904866415.1	Klebsiella pneumoniae		INF201-sc-2280069
GCF_904866425.1	Klebsiella pneumoniae		INF065-sc-2279980
GCF_904866435.1	Klebsiella pneumoniae		INF119-sc-2279930
GCF_904866445.1	Klebsiella pneumoniae		INF305-sc-2280094
GCF_904866465.1	Klebsiella pneumoniae		INF161-sc-2280013
GCF_904866475.1	Klebsiella pneumoniae		KSB2_9B
GCF_904866485.1	Klebsiella pneumoniae		KSB1_1H
GCF_904866505.1	Klebsiella pneumoniae		INF323-sc-2280125
GCF_904866535.1	Klebsiella pneumoniae		KSB1_8C-sc-2280241
GCF_904866555.1	Klebsiella pneumoniae		INF102-sc-2279897
GCF_905477585.1	Klebsiella pneumoniae		RH201207
GCF_003010735.1	Klebsiella pneumoniae	ozaenae	AR_0096
GCF_000742755.1	Klebsiella pneumoniae	pneumoniae	ATCC 43816 KPPR1
GCF_000775375.1	Klebsiella pneumoniae	pneumoniae	KPNIH33
GCF_000775395.1	Klebsiella pneumoniae	pneumoniae	KPNIH32
GCF_000784945.1	Klebsiella pneumoniae	pneumoniae	KPNIH29
GCF_000784985.1	Klebsiella pneumoniae	pneumoniae	KPNIH30
GCF_000785005.1	Klebsiella pneumoniae	pneumoniae	KPNIH31
GCF_001316565.3	Klebsiella pneumoniae	pneumoniae	ST101:960186733
GCF_001316945.3	Klebsiella pneumoniae	pneumoniae	ST2017:950142398
GCF_001521895.1	Klebsiella pneumoniae	pneumoniae	NUHL24835
GCF_001529935.1	Klebsiella pneumoniae	pneumoniae	RJF999
GCF_001530015.1	Klebsiella pneumoniae	pneumoniae	RJF293
GCF_001611055.1	Klebsiella pneumoniae	pneumoniae	TGH8
GCF_001611095.1	Klebsiella pneumoniae	pneumoniae	TGH10
GCF_001746535.1	Klebsiella pneumoniae	pneumoniae	TGH13
GCF_002007665.1	Klebsiella pneumoniae	pneumoniae	KPN_KPC_HUG_07
GCF_002163895.1	Klebsiella pneumoniae	pneumoniae	RJA166
GCF_002248115.2	Klebsiella pneumoniae	pneumoniae	KPCTRSRTH07
GCF_002249975.2	Klebsiella pneumoniae	pneumoniae	AUSMDU00008079
GCF_002251875.2	Klebsiella pneumoniae	pneumoniae	KPCTRSRTH01
GCF_002761515.1	Klebsiella pneumoniae	pneumoniae	H11
GCF_002852365.2	Klebsiella pneumoniae	pneumoniae	WCHKP015093
GCF_002852945.2	Klebsiella pneumoniae	pneumoniae	SCKP020046
GCF_002852975.2	Klebsiella pneumoniae	pneumoniae	SCKP020079
GCF_002853435.2	Klebsiella pneumoniae	pneumoniae	SCKP020143
GCF_002893825.1	Klebsiella pneumoniae	pneumoniae	GD4
GCF_002951555.1	Klebsiella pneumoniae	pneumoniae	BR7
GCF_002951595.1	Klebsiella pneumoniae	pneumoniae	BR21
GCF_002970375.3	Klebsiella pneumoniae	pneumoniae	CRK0298
GCF_003037615.2	Klebsiella pneumoniae	pneumoniae	SCKP040074
GCF_003285145.1	Klebsiella pneumoniae	pneumoniae	11219
GCF_003286975.1	Klebsiella pneumoniae	pneumoniae	12208
GCF_003286995.1	Klebsiella pneumoniae	pneumoniae	SC-7
GCF_003330945.1	Klebsiella pneumoniae	pneumoniae	KC-Pl-HB1
GCF_003850165.1	Klebsiella pneumoniae	pneumoniae	ARLG-3135
GCF_003855515.1	Klebsiella pneumoniae	pneumoniae	R210-2
GCF_004141975.1	Klebsiella pneumoniae	pneumoniae	CCRI-22199
GCF_005885775.1	Klebsiella pneumoniae	pneumoniae	KpvST15_NDM
GCF_009025895.1	Klebsiella pneumoniae	pneumoniae	BK13048
GCF_009867115.1	Klebsiella pneumoniae	pneumoniae	KP-8788
GCF_009909305.1	Klebsiella pneumoniae	pneumoniae	KUH-KPNHVL1
GCF_009909325.1	Klebsiella pneumoniae	pneumoniae	KUH-KPNHVF1
GCF_011752495.1	Klebsiella pneumoniae	pneumoniae	HB25-1
GCF_014123345.1	Klebsiella pneumoniae	pneumoniae	KP18069
GCF_016774435.1	Klebsiella pneumoniae	pneumoniae	RJBSI76
GCF_016774455.1	Klebsiella pneumoniae	pneumoniae	RJBSI76-pV
GCF_017301375.1	Klebsiella pneumoniae	pneumoniae	SA-KpST14
GCF_018310495.1	Klebsiella pneumoniae	pneumoniae	MRSN752165
GCF_018314145.1	Klebsiella pneumoniae	pneumoniae	kpn-hnqyy
GCF_018604765.1	Klebsiella pneumoniae	pneumoniae	90CM2
GCF_018623335.1	Klebsiella pneumoniae	pneumoniae	WGR351
GCF_000016305.1	Klebsiella pneumoniae	pneumoniae MGH 78578	ATCC 700721; MGH 78578
GCF_000009885.1	Klebsiella pneumoniae	pneumoniae NTUH-K2044	NTUH-K2044
GCF_000967845.1	Klebsiella pneumoniae	rhinoscleromatis SB3432	SB3432
GCF_000220485.1	Klebsiella pneumoniae		KCTC 2242
GCF_000281535.2	Klebsiella pneumoniae	pneumoniae KPNIH1	KPNIH1
GCF_000281435.2	Klebsiella pneumoniae	pneumoniae KPNIH10	KPNIH10
GCF_000512165.1	Klebsiella pneumoniae	pneumoniae Kp13	Kp13
GCF_000240185.1	Klebsiella pneumoniae	pneumoniae HS11286	HS11286
GCF_000294365.1	Klebsiella pneumoniae	pneumoniae 1084	1084
GCF_000474015.1	Klebsiella pneumoniae		CG43
GCF_000417225.2	Klebsiella pneumoniae		DMC1097
GCF_000417265.2	Klebsiella pneumoniae		UHKPC07
GCF_000406765.2	Klebsiella pneumoniae		500_1420
GCF_016071735.1	Klebsiella pneumoniae	pneumoniae ATCC 43816	ATCC 43816
GCF_000695935.1	Klebsiella pneumoniae	pneumoniae KPNIH27	KPNIH27
GCF_000717515.1	Klebsiella pneumoniae	pneumoniae KPR0928	KPR0928
GCF_018075085.1	Klebsiella pneumoniae		MGH 39
GCF_000465975.2	Klebsiella pneumoniae		KP-1
GCF_000814805.1	Klebsiella pneumoniae	pneumoniae 1158	1158
GCF_000813205.1	Klebsiella pneumoniae		HK787
GCF_000733255.1	Klebsiella pneumoniae	pneumoniae PittNDM01	PittNDM01
GCF_000598005.1	Klebsiella pneumoniae		30660/NJST258_1
GCF_000597905.1	Klebsiella pneumoniae		30684/NJST258_2
