assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001430775.1	0.5634707447595415	0.5637695795995417	0.5640684144395417	+	False
GCF_001606195.1	0.5562954294338821	0.556604844853186	0.5569142602724898	+	False
GCF_001606215.1	0.5686488503797469	0.5689379106229544	0.5692269708661619	+	False
GCF_001606235.1	0.559123834676328	0.55942621805614	0.5597286014359518	+	False
GCF_001606255.1	0.5667866124695302	0.5670917130258404	0.5673968135821504	+	False
GCF_001606275.1	0.562887085213955	0.5631805590531354	0.5634740328923155	+	False
GCF_001606295.1	0.5505722748519952	0.5508582423962833	0.5511442099405716	+	False
GCF_001606315.1	0.5788495077706789	0.579135896426739	0.5794222850827994	+	False
GCF_001606335.1	0.5664165835465544	0.5667022401891555	0.5669878968317568	+	False
GCF_001610615.1	0.5671039338730048	0.5673940283806254	0.567684122888246	+	False
GCF_001610635.1	0.5855039068741684	0.5858035077227803	0.5861031085713924	+	False
GCF_001610655.1	0.5731147219587377	0.573426715998107	0.5737387100374763	+	False
GCF_001610675.1	0.6035253995561796	0.6038133354416955	0.6041012713272115	+	False
GCF_001677095.1	0.5614285548428991	0.5617318152829651	0.5620350757230309	+	False
GCF_001677155.1	0.5788063935183068	0.5790928109784663	0.579379228438626	+	False
GCF_001677175.1	0.5718776521629911	0.5721740488015599	0.5724704454401285	+	False
GCF_001677195.1	0.5830874738378673	0.5833723148796448	0.5836571559214222	+	False
GCF_001677215.1	0.6035536514095107	0.6038415665013546	0.6041294815931986	+	False
GCF_003076795.1	0.587611445331378	0.5879280750579099	0.5882447047844418	+	False
GCF_003076815.1	-0.5458928291626163	-0.545596600542722	-0.5453003719228278	-	False
GCF_003076835.1	-0.5890981926668466	-0.5888013386553529	-0.5885044846438592	-	False
GCF_003076855.1	-0.5844892965863691	-0.5841804074897478	-0.5838715183931265	-	False
GCF_003076875.1	-0.5637770654290153	-0.5634781411630514	-0.5631792168970875	-	False
GCF_003586385.1	0.5584475169325861	0.5587342693132933	0.5590210216940006	+	False
GCF_004027995.1	-0.5650446110898243	-0.5647484419352065	-0.5644522727805885	-	False
GCF_010731915.1	-0.5891564266867697	-0.588870900866943	-0.5885853750471165	-	False
GCF_012273395.1	0.5559160581440504	0.5562054077926428	0.5564947574412353	+	False
GCF_014843135.1	0.5705756481908792	0.5708724083921826	0.5711691685934859	+	False
GCF_014843155.1	0.5735832060810295	0.573895918555223	0.5742086310294164	+	False
GCF_014843175.1	0.5680019496927952	0.5683055870884159	0.5686092244840368	+	False
GCF_014843195.1	0.6142077560470812	0.6145210602462261	0.6148343644453709	+	False
GCF_014843215.1	0.5884824398021786	0.5887864438668033	0.589090447931428	+	False
GCF_014843235.1	0.5884798683642858	0.5887838746250087	0.5890878808857317	+	False
GCF_017183915.1	0.5380530481327418	0.5383415726279954	0.5386300971232489	+	False
GCF_000497265.2	0.5752941277522136	0.575589875774118	0.5758856237960225	+	False
GCF_003609715.1	0.5874942581083362	0.5877916586509204	0.5880890591935047	+	False
GCF_001050395.1	0.60662810494147	0.6069141832925711	0.6072002616436721	+	False
GCF_017183555.1	0.5542677397857819	0.5545634874186303	0.5548592350514788	+	False
GCF_017183735.1	0.5556681006323138	0.5559566587597295	0.5562452168871453	+	False
GCF_017183775.1	0.5527039791937187	0.5529909976610363	0.5532780161283539	+	False
GCF_017183795.1	0.5543139349429813	0.5546017928130156	0.5548896506830496	+	False
GCF_017183815.1	0.5746090801230314	0.5748989054740834	0.5751887308251357	+	False
GCF_017183835.1	0.5637732316063977	0.5640566864854326	0.5643401413644676	+	False
GCF_017183875.1	0.5509519289210288	0.5512380685443219	0.5515242081676147	+	False
GCF_017183895.1	0.5509519289210288	0.5512380685443219	0.5515242081676147	+	False
GCF_017183935.1	0.5591228915949925	0.5594051051026439	0.559687318610295	+	False
GCF_017183955.1	0.5589008057971814	0.5591829111559914	0.5594650165148015	+	False
GCF_017189355.1	0.5504640369039334	0.5507500831705481	0.551036129437163	+	False
GCF_017189375.1	0.5528263145089223	0.5531133913879209	0.5534004682669197	+	False
GCF_017189395.1	0.5746414100956627	0.5749162298574348	0.5751910496192069	+	False
GCF_017189415.1	0.5560890257709388	0.5563606819700255	0.5566323381691125	+	False
GCF_017189435.1	0.5623818522178285	0.5626496568035622	0.562917461389296	+	False
GCF_017190595.1	0.5664483853949538	0.5667278469104284	0.5670073084259031	+	False
GCF_017190695.1	0.5506456731669314	0.5509315947289275	0.5512175162909236	+	False
GCF_017190795.1	0.5913529759647101	0.5916253076089282	0.5918976392531462	+	False
GCF_017190875.1	0.5543953533903283	0.5546715293072779	0.5549477052242275	+	False
GCF_000277775.2	-0.5714306857695969	-0.5711103631042417	-0.5707900404388865	-	False
GCF_000445035.1	0.5772483426048826	0.5775417297174614	0.5778351168300404	+	False
GCF_002140035.1	0.582539065598477	0.5828394939319426	0.5831399222654081	+	False
GCF_004209815.1	0.5788632009871153	0.5791662732395402	0.5794693454919653	+	False
GCF_004209835.1	0.5788661487009046	0.5791692222871714	0.5794722958734381	+	False
GCF_005222645.1	-0.5694996565372972	-0.5691756552951854	-0.5688516540530738	-	False
GCF_017183975.1	0.5551306153338179	0.555428725023229	0.55572683471264	+	False
GCF_017190535.1	0.5551457045798714	0.5554438118055971	0.5557419190313228	+	False
