assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001483885.1	-0.4760730361097367	-0.4757009862084536	-0.4753289363071705	-	False
GCF_001483885.1	0.0037210669144902	0.0041318960414	0.0045427251683099	+	False
GCF_001483885.1	0.0152508046840355	0.0156616338109454	0.0160724629378552	+	False
GCF_001483885.1	0.0470949686295228	0.0475057977564326	0.0479166268833425	+	True
GCF_001483885.1	0.0501863981345334	0.0505972272614432	0.0510080563883531	+	True
GCF_001483885.1	0.0878543102844666	0.0882651394113764	0.0886759685382864	+	True
GCF_001483885.1	0.0909791577817242	0.091389986908634	0.091800816035544	+	True
GCF_001483885.1	0.3075866268621248	0.3079974559890346	0.3084082851159445	+	False
GCF_001483885.1	0.4513858388340409	0.4517966679609508	0.4522074970878607	+	False
GCF_001596755.1	0.0091180515382871	0.0095283426675227	0.0099386337967583	+	False
GCF_001596755.1	0.0205320382013091	0.0209423293305446	0.0213526204597803	+	False
GCF_001596755.1	0.0522041824796946	0.0526144736089302	0.0530247647381659	+	True
GCF_001596755.1	0.0553212296125834	0.0557315207418189	0.0561418118710546	+	True
GCF_001596755.1	0.0895663680997455	0.0899766592289812	0.0903869503582167	+	False
GCF_001596755.1	0.0950047783421377	0.0954150694713733	0.095825360600609	+	False
GCF_001596755.1	-0.4841090667132279	-0.4837438121440065	-0.4833785575747851	-	False
GCF_001705195.1	0.0046115484983855	0.0050397518687248	0.005467955239064	+	False
GCF_001705195.1	0.0166299924808704	0.0170581958512097	0.0174863992215489	+	False
GCF_001705195.1	0.0498015170949621	0.0502297204653015	0.0506579238356406	+	True
GCF_001705195.1	0.0530231323809102	0.0534513357512496	0.0538795391215887	+	True
GCF_001705195.1	0.088518399752311	0.0889466031226502	0.0893748064929895	+	True
GCF_001705195.1	0.0917980671414038	0.0922262705117431	0.0926544738820823	+	True
GCF_001705195.1	0.3252156220973948	0.325643825467734	0.3260720288380733	+	False
GCF_001705195.1	0.4713897120615684	0.4718179154319077	0.4722461188022469	+	False
GCF_001705195.1	-0.5125238828213413	-0.5121118027293589	-0.5116997226373764	-	False
GCF_001874385.1	0.0105029022742411	0.010921645083435	0.0113403878926288	+	False
GCF_001874385.1	0.0222558153617245	0.0226748285019766	0.0230938416422287	+	False
GCF_001874385.1	0.0547106808882429	0.0551294236974369	0.0555481665066306	+	True
GCF_001874385.1	0.0578951807541587	0.0583139235633525	0.0587326663725464	+	True
GCF_001874385.1	0.0928160061938252	0.0932347490030189	0.0936534918122129	+	True
GCF_001874385.1	0.096000506059741	0.0964192488689348	0.0968379916781287	+	True
GCF_001874385.1	0.3162392191973979	0.3166579620065917	0.3170767048157856	+	False
GCF_001874385.1	0.4553337399112449	0.4557524827204386	0.4561712255296326	+	False
GCF_001874385.1	-0.4589467540971161	-0.458579271012251	-0.4582117879273859	-	False
GCF_001889285.1	-0.4353470436360455	-0.434950835975144	-0.4345546283142426	-	False
GCF_001889285.1	-0.2893472063139489	-0.2889509986530474	-0.2885547909921459	-	False
GCF_001889285.1	-0.0854319891261587	-0.0850357814652572	-0.0846395738043557	-	True
GCF_001889285.1	-0.0824188669535186	-0.0820226592926171	-0.0816264516317156	-	True
GCF_001889285.1	-0.0493732552411188	-0.0489770475802173	-0.0485808399193158	-	True
GCF_001889285.1	-0.046392361709714	-0.0459961540488125	-0.045599946387911	-	True
GCF_001889285.1	-0.0156835822697455	-0.0152873746088439	-0.0148911669479425	-	False
GCF_001889285.1	-0.0045636779120751	-0.0041674702511736	-0.0037712625902721	-	False
GCF_001889285.1	0.483776251959835	0.4841569145929687	0.4845375772261023	+	False
GCF_001922005.1	-0.4567986855021126	-0.456385504246511	-0.4559723229909095	-	False
GCF_001922005.1	-0.3130644232000341	-0.3126512419444326	-0.312238060688831	-	False
GCF_001922005.1	-0.0891159148137083	-0.0887027335581067	-0.0882895523025052	-	True
GCF_001922005.1	-0.0859459690154069	-0.0855327877598053	-0.0851196065042038	-	True
GCF_001922005.1	-0.0514884127864794	-0.0510752315308778	-0.0506620502752763	-	True
GCF_001922005.1	-0.0483808842985788	-0.0479677030429772	-0.0475545217873757	-	True
GCF_001922005.1	-0.0163538688062822	-0.0159406875506806	-0.0155275062950791	-	False
GCF_001922005.1	-0.0047575861038794	-0.0043446715889207	-0.0039317570739618	-	False
GCF_001922005.1	0.488743530771802	0.4891203601213834	0.4894971894709646	+	False
GCF_002173635.1	0.0034853754347336	0.0038729451797732	0.0042605149248129	+	False
GCF_002173635.1	0.0143643505892361	0.0147519203342758	0.0151394900793154	+	False
GCF_002173635.1	0.0443961268046138	0.0447836965496535	0.0451712662946931	+	True
GCF_002173635.1	0.0473130332524332	0.0477006029974729	0.0480881727425125	+	True
GCF_002173635.1	0.0794390372056947	0.0798266069507342	0.080214176695774	+	True
GCF_002173635.1	0.0823964770936022	0.0827840468386418	0.0831716165836815	+	True
GCF_002173635.1	0.2906437811194235	0.2910313508644631	0.2914189206095028	+	False
GCF_002173635.1	0.4520964795956664	0.4524840493407061	0.4528716190857457	+	False
GCF_002173635.1	-0.5207955317571845	-0.5204217787266241	-0.5200480256960638	-	False
GCF_002209305.1	0.0035663608468698	0.0039631069652124	0.0043598530835548	+	False
GCF_002209305.1	0.0146142931054796	0.015011039223822	0.0154077853421647	+	False
GCF_002209305.1	0.0452679893244814	0.0456647354428239	0.0460614815611665	+	False
GCF_002209305.1	0.078244789025321	0.0786415351436635	0.0790382812620061	+	True
GCF_002209305.1	0.0813588234390127	0.0817555695573553	0.0821523156756978	+	True
GCF_002209305.1	0.2899407314062076	0.2903374775245502	0.2907342236428926	+	False
GCF_002209305.1	0.4809817993678699	0.4813785454862125	0.481775291604555	+	False
GCF_002209305.1	-0.524299742314013	-0.5239016218333488	-0.5235035013526844	-	False
GCF_003149695.1	0.0037632215093685	0.0041582093205903	0.0045531971318122	+	False
GCF_003149695.1	0.0148488897502065	0.0152438775614283	0.0156388653726502	+	False
GCF_003149695.1	0.0454651625340418	0.0458601503452638	0.0462551381564855	+	True
GCF_003149695.1	0.048436368458094	0.0488313562693158	0.0492263440805377	+	True
GCF_003149695.1	0.0813756489631888	0.0817706367744106	0.0821656245856325	+	True
GCF_003149695.1	0.0844065238012668	0.0848015116124887	0.0851964994237104	+	True
GCF_003149695.1	0.2965805122346773	0.2969755000458991	0.297370487857121	+	False
GCF_003149695.1	0.4401760487959119	0.4405710366071338	0.4409660244183556	+	False
GCF_003149695.1	-0.5008828784859077	-0.5005115565269962	-0.5001402345680848	-	False
GCF_003149715.1	0.0037958384837247	0.0041947362999588	0.0045936341161928	+	False
GCF_003149715.1	0.0149917593737124	0.0153906571899464	0.0157895550061804	+	False
GCF_003149715.1	0.0459100741656365	0.0463089719818705	0.0467078697981046	+	True
GCF_003149715.1	0.0489096621343222	0.0493085599505562	0.0497074577667902	+	True
GCF_003149715.1	0.0821729501442109	0.0825718479604449	0.082970745776679	+	False
GCF_003149715.1	0.1117228059332509	0.112121703749485	0.112520601565719	+	False
GCF_003149715.1	0.3309765142150803	0.3313754120313144	0.3317743098475484	+	False
GCF_003149715.1	0.472131747012773	0.472530644829007	0.472929542645241	+	False
GCF_003149715.1	-0.4908786156618961	-0.4905098175532661	-0.4901410194446362	-	False
GCF_003149795.1	0.0038945485816182	0.0043031543627702	0.004711760143922	+	False
GCF_003149795.1	0.0153624167093122	0.0157710224904641	0.016179628271616	+	False
GCF_003149795.1	0.0470331896574464	0.0474417954385983	0.0478504012197502	+	True
GCF_003149795.1	0.0501063060876721	0.0505149118688241	0.050923517649976	+	True
GCF_003149795.1	0.0842155243818155	0.0846241301629675	0.0850327359441194	+	True
GCF_003149795.1	0.0873482566329195	0.0877568624140714	0.0881654681952233	+	True
GCF_003149795.1	0.3268534980769941	0.327262103858146	0.3276707096392979	+	False
GCF_003149795.1	0.4637646599524128	0.4641732657335646	0.4645818715147167	+	False
GCF_003149795.1	-0.4976423217968463	-0.4972712922797596	-0.4969002627626728	-	False
GCF_003312895.1	0.3313107484205411	0.3317028288514498	0.3320949092823587	+	False
GCF_003312895.1	0.4659272233921918	0.4663195569415195	0.4667118904908472	+	False
GCF_003312895.1	-0.4807986143030631	-0.4804241277705472	-0.4800496412380312	-	False
GCF_003312895.1	0.0037355216264377	0.0041276020573464	0.0045196824882553	+	False
GCF_003312895.1	0.0147395917706139	0.0151316722015226	0.0155237526324315	+	False
GCF_003312895.1	0.0451269641989308	0.0455190446298396	0.0459111250607484	+	True
GCF_003312895.1	0.0480768062530374	0.0484688866839462	0.048860967114855	+	True
GCF_003312895.1	0.0807736311355904	0.0811657115664992	0.081557791997408	+	True
GCF_003312895.1	0.0837791592418597	0.0841712396727685	0.0845633201036773	+	True
GCF_003868675.1	0.0103576150604629	0.0107717596585292	0.0111859042565957	+	False
GCF_003868675.1	0.021987264720267	0.0224014093183335	0.0228155539163998	+	False
GCF_003868675.1	0.0538953326197139	0.0543094772177803	0.0547236218158467	+	True
GCF_003868675.1	0.0570036838335336	0.0574175617576797	0.057831439681826	+	True
GCF_003868675.1	0.091244081839026	0.0916582264370924	0.0920723710351588	+	True
GCF_003868675.1	0.0943935008365561	0.0948076454346225	0.0952217900326889	+	True
GCF_003868675.1	0.3074222285512832	0.3078361064754293	0.3082499843995757	+	False
GCF_003868675.1	0.4561612075848463	0.4565748188350724	0.4569884300852983	+	False
GCF_003868675.1	-0.4648779436634234	-0.4645144214328209	-0.4641508992022186	-	False
GCF_004006115.1	0.4604886385537903	0.4608694348186928	0.4612502310835952	+	False
GCF_004006115.1	-0.5406955011325891	-0.5403021422694445	-0.5399087834062999	-	False
GCF_004006115.1	0.0034244622143905	0.0038052584792929	0.0041860547441953	+	False
GCF_004006115.1	0.0141133076617486	0.014494103926651	0.0148749001915535	+	False
GCF_004006115.1	0.0436202244362543	0.0440010207011567	0.0443818169660592	+	True
GCF_004006115.1	0.0464861526843063	0.0468669489492088	0.0472477452141112	+	True
GCF_004006115.1	0.0780502051235658	0.0784310013884681	0.0788117976533706	+	True
GCF_004006115.1	0.0809559584167528	0.0813367546816552	0.0817175509465577	+	True
GCF_004006115.1	0.2834028878566062	0.2837836841215087	0.2841644803864111	+	False
GCF_007362635.1	0.0099720435444531	0.0103707608667169	0.0107694781889807	+	False
GCF_007362635.1	0.0211412666776622	0.0215397270944348	0.0219381875112075	+	False
GCF_007362635.1	0.0519848261340707	0.0523835434563344	0.0527822607785983	+	True
GCF_007362635.1	0.0549782889169429	0.0553770062392067	0.0557757235614705	+	True
GCF_007362635.1	0.0881951413005891	0.0885938586228529	0.0889925759451167	+	True
GCF_007362635.1	0.0912456371024965	0.0916443544247602	0.0920430717470241	+	True
GCF_007362635.1	0.3115883387514701	0.3119870560737339	0.3123857733959977	+	False
GCF_007362635.1	0.453307683889097	0.4537064012113607	0.4541051185336245	+	False
GCF_007362635.1	-0.4841716597966863	-0.4838052608467782	-0.48343886189687	-	False
GCF_007827165.1	0.0856715278950825	0.0860905869038797	0.086509645912677	+	True
GCF_007827165.1	0.0888610175821293	0.0892800765909265	0.0896991355997239	+	True
GCF_007827165.1	0.3018687387376205	0.3022877977464178	0.302706856755215	+	False
GCF_007827165.1	0.4527661402479599	0.4531851992567572	0.4536042582655544	+	False
GCF_007827165.1	-0.5012891221691895	-0.5009200877497704	-0.5005510533303512	-	False
GCF_007827165.1	0.0037577693216424	0.0041768283304397	0.004595887339237	+	False
GCF_007827165.1	0.015490342214434	0.0159094012232312	0.0163284602320286	+	False
GCF_007827165.1	0.0478785036490244	0.0482975626578217	0.048716621666619	+	True
GCF_007827165.1	0.0510242795180254	0.0514433385268227	0.05186239753562	+	True
GCF_007923205.1	0.0040019725362263	0.0044216783898902	0.004841384243554	+	False
GCF_007923205.1	0.0158171393889472	0.0162368452426111	0.0166565510962749	+	False
GCF_007923205.1	0.0483813281021383	0.0488010339558022	0.049220739809466	+	True
GCF_007923205.1	0.0515693584922019	0.0519890643458658	0.0524087701995296	+	True
GCF_007923205.1	0.0900787930679441	0.090498498921608	0.0909182047752717	+	True
GCF_007923205.1	0.0933004216025231	0.0937201274561869	0.0941398333098507	+	True
GCF_007923205.1	0.3113697204851138	0.3117891553859993	0.3122085902868848	+	False
GCF_007923205.1	0.4549530167882341	0.455372722641898	0.4557924284955618	+	False
GCF_007923205.1	-0.4817524794761069	-0.4813849475632326	-0.4810174156503582	-	False
GCF_008534375.1	-0.4739883323431733	-0.4736133700828813	-0.4732384078225893	-	False
GCF_008534375.1	0.0036146347873812	0.0040117086544582	0.004408782521535	+	False
GCF_008534375.1	0.0148094895758447	0.0152065634429217	0.0156036373099984	+	False
GCF_008534375.1	0.0456735439551236	0.046070875495054	0.0464682070349842	+	True
GCF_008534375.1	0.0486697638943644	0.0490645187057607	0.0494592735171571	+	True
GCF_008534375.1	0.081944090144271	0.0823416793570546	0.0827392685698383	+	True
GCF_008534375.1	0.0849758689372798	0.0853721697857965	0.0857684706343132	+	True
GCF_008534375.1	0.3126267428347621	0.3130227860104253	0.3134188291860887	+	False
GCF_008534375.1	0.4475885686015321	0.4479877038514361	0.4483868391013401	+	False
GCF_008808015.1	0.0483708345633563	0.0487911225623838	0.0492114105614114	+	False
GCF_008808015.1	0.0834243188566864	0.0838446068557139	0.0842648948547415	+	False
GCF_008808015.1	0.3184670585375171	0.3188873465365447	0.3193076345355722	+	False
GCF_008808015.1	0.4653350582596766	0.4657553462587041	0.4661756342577318	+	False
GCF_008808015.1	-0.4831924295117112	-0.4828167668272145	-0.4824411041427178	-	False
GCF_008808015.1	0.0040080660565752	0.0044283540556029	0.0048486420546303	+	False
GCF_008808015.1	0.0157972936600274	0.016217581659055	0.0166378696580825	+	False
GCF_008824205.1	-0.4685272274351683	-0.4681743226574891	-0.4678214178798101	-	False
GCF_008824205.1	0.0044165644554393	0.0048190861276844	0.0052216077999293	+	False
GCF_008824205.1	0.0157141966197534	0.0161167182919983	0.0165192399642433	+	False
GCF_008824205.1	0.0469123547387896	0.0473148764110347	0.0477173980832796	+	True
GCF_008824205.1	0.0500046774629441	0.050407199135189	0.050809720807434	+	True
GCF_008824205.1	0.0836039332266178	0.0840064548988628	0.0844089765711078	+	True
GCF_008824205.1	0.0866931376421429	0.0870956593143879	0.0874981809866328	+	True
GCF_008824205.1	0.3128256033927198	0.3132281250649646	0.3136306467372097	+	False
GCF_008824205.1	0.4566783776479637	0.4570808993202087	0.4574834209924537	+	False
GCF_013122255.1	0.0038852631578947	0.0042936842105263	0.0047021052631578	+	False
GCF_013122255.1	0.0153252631578947	0.0157336842105262	0.0161421052631578	+	False
GCF_013122255.1	0.0469184210526315	0.047326842105263	0.0477352631578947	+	True
GCF_013122255.1	0.0499852631578947	0.0503936842105263	0.0508021052631578	+	True
GCF_013122255.1	0.0839805263157894	0.0843889473684211	0.0847973684210526	+	True
GCF_013122255.1	0.0870815789473684	0.08749	0.0878984210526315	+	True
GCF_013122255.1	0.3196131578947368	0.3200215789473684	0.32043	+	False
GCF_013122255.1	0.4570910526315789	0.4574994736842104	0.4579078947368421	+	False
GCF_013122255.1	-0.4930627917737209	-0.4926978982887624	-0.4923330048038039	-	False
GCF_013328835.1	0.0035229156246015	0.0039036984729454	0.0042844813212895	+	False
GCF_013328835.1	0.0141838546110767	0.0145646374594208	0.0149454203077647	+	False
GCF_013328835.1	0.0436137346632536	0.0439945175115976	0.0443753003599415	+	True
GCF_013328835.1	0.046472180539618	0.0468529633879619	0.047233746236306	+	True
GCF_013328835.1	0.0779538254822922	0.0783346083306362	0.0787153911789802	+	True
GCF_013328835.1	0.0808519924284775	0.0812327752768216	0.0816135581251655	+	True
