assembly_accession	species	subsp	strain
GCF_016455345.1	Enterococcus faecium		Dallas 71_1
GCF_016743855.1	Enterococcus faecium		fac90
GCF_016864255.1	Enterococcus faecium		WGS1811-4-7
GCF_017584065.1	Enterococcus faecium		VRE3355
GCF_017603725.1	Enterococcus faecium		VB13828
GCF_017815655.1	Enterococcus faecium		VB12993
GCF_017815675.1	Enterococcus faecium		VB3895
GCF_017815695.1	Enterococcus faecium		VB976
GCF_017897965.1	Enterococcus faecium		VB6171
GCF_017898005.1	Enterococcus faecium		VB6521
GCF_017898025.1	Enterococcus faecium		VB3378
GCF_018219285.1	Enterococcus faecium		PR05720-3
GCF_018219305.1	Enterococcus faecium		PR02648-8
GCF_018219325.1	Enterococcus faecium		PR01996-12
GCF_018279145.1	Enterococcus faecium		116
GCF_018296025.1	Enterococcus faecium		PR02395-7
GCF_018516845.1	Enterococcus faecium		18-465
GCF_018516925.1	Enterococcus faecium		18-276
GCF_018517045.1	Enterococcus faecium		17-508
GCF_018517065.1	Enterococcus faecium		17-318
GCF_018517085.1	Enterococcus faecium		16-164
GCF_018517105.1	Enterococcus faecium		16-021
GCF_018517185.1	Enterococcus faecium		18-042
GCF_900092475.1	Enterococcus faecium		Ef_aus00233
GCF_900634805.1	Enterococcus faecium		E0139
GCF_900635365.1	Enterococcus faecium		E1334
GCF_900635415.1	Enterococcus faecium		E6043
GCF_900637035.1	Enterococcus faecium		NCTC7174
GCF_900638765.1	Enterococcus faecium		E2079
GCF_900638775.1	Enterococcus faecium		E4227
GCF_900638785.1	Enterococcus faecium		E1774
GCF_900638805.1	Enterococcus faecium		E4402
GCF_900638815.1	Enterococcus faecium		E0595
GCF_900638825.1	Enterococcus faecium		E4438
GCF_900639335.1	Enterococcus faecium		E7067
GCF_900639345.1	Enterococcus faecium		E6055
GCF_900639355.1	Enterococcus faecium		E7025
GCF_900639365.1	Enterococcus faecium		E7171
GCF_900639385.1	Enterococcus faecium		E7040
GCF_900639395.1	Enterococcus faecium		E6975
GCF_900639405.1	Enterococcus faecium		E4457
GCF_900639415.1	Enterococcus faecium		E6988
GCF_900639445.1	Enterococcus faecium		E7199
GCF_900639455.1	Enterococcus faecium		E7237
