assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001469735.1	-0.2857909203491708	-0.2853221373123509	-0.2848533542755309	-	False
GCF_001469735.1	-0.2220859636934787	-0.2216177847585103	-0.2211496058235418	-	False
GCF_001469735.1	-0.1166514634367354	-0.1161826803999154	-0.1157138973630954	-	True
GCF_001469735.1	-0.1134666384752469	-0.1129978554384268	-0.1125290724016069	-	True
GCF_001469735.1	-0.0871018213670824	-0.0866330383302624	-0.0861642552934424	-	True
GCF_001469735.1	-0.0839139758963361	-0.0834451928595161	-0.0829764098226961	-	True
GCF_001469735.1	-0.0480115987555501	-0.0475431177696559	-0.0470746367837617	-	False
GCF_001469735.1	-0.0214933397770864	-0.0210245567402663	-0.0205557737034464	-	False
GCF_001469735.1	0.0283531587168918	0.0288073785686715	0.0292615984204511	+	False
GCF_001469735.1	0.3383536682865515	0.3388081809944574	0.3392626937023633	+	False
GCF_001469735.1	-0.6413574168604826	-0.6408889358745884	-0.6404204548886943	-	False
GCF_001679745.1	0.3402816662331192	0.3407118151236052	0.341141964014091	+	False
GCF_001679745.1	-0.2805293379207736	-0.2800757276362283	-0.2796221173516831	-	False
GCF_001679745.1	-0.1998302957039241	-0.1993766854193788	-0.1989230751348335	-	False
GCF_001679745.1	-0.095041961130742	-0.0945883508461967	-0.0941347405616514	-	False
GCF_001679745.1	-0.0605030686256276	-0.0600494583410824	-0.0595958480565371	-	False
GCF_001679745.1	-0.0350346382741305	-0.0345810279895852	-0.0341274177050399	-	False
GCF_001679745.1	0.0173630247210232	0.0177931736115091	0.018223322501995	+	False
GCF_001679745.1	-0.8633153942718989	-0.8628617839873536	-0.8624081737028083	+	False
GCF_001679745.1	-0.8380306165147852	-0.8375770062302399	-0.8371233959456946	+	False
GCF_002119505.2	0.019925554281735	0.0203773756283141	0.020829196974893	+	False
GCF_002119505.2	0.3366237882774486	0.3370756096240277	0.3375274309706065	+	False
GCF_002119505.2	-0.282245931882957	-0.2818027084606553	-0.2813594850383537	-	False
GCF_002119505.2	-0.2212535911949326	-0.2208103677726309	-0.2203671443503292	-	True
GCF_002119505.2	-0.2181538830598408	-0.2177106596375392	-0.2172674362152375	-	True
GCF_002119505.2	-0.1184611694015912	-0.1180179459792896	-0.1175747225569879	-	True
GCF_002119505.2	-0.1154631284948109	-0.1150199050725092	-0.1145766816502076	-	True
GCF_002119505.2	-0.0904866890182258	-0.0900434655959241	-0.0896002421736224	-	True
GCF_002119505.2	-0.0874766536631616	-0.0870334302408599	-0.0865902068185582	-	True
GCF_002119505.2	-0.0535175147503155	-0.0530742913280138	-0.0526310679057122	-	False
GCF_002119505.2	-0.028419417298279	-0.0279761938759773	-0.0275329704536757	-	False
GCF_002119505.2	-0.9619678891484512	-0.9615246657261496	-0.961081442303848	-	False
GCF_002119525.1	0.0191651437278602	0.0196410110680496	0.020116878408239	+	False
GCF_002119525.1	0.0458584230356539	0.0463342903758432	0.0468101577160327	+	True
GCF_002119525.1	0.0492470639536308	0.0497229312938203	0.0501987986340096	+	True
GCF_002119525.1	0.0891243795963763	0.0896002469365657	0.0900761142767551	+	True
GCF_002119525.1	0.092505671211802	0.0929815385519914	0.0934574058921808	+	True
GCF_002119525.1	0.0959610682946188	0.0964369356348082	0.0969128029749976	+	True
GCF_002119525.1	0.2506565376945728	0.2511324050347623	0.2516082723749516	+	True
GCF_002119525.1	0.2540372168681192	0.2545130842083085	0.254988951548498	+	True
GCF_002119525.1	-0.3792022911763293	-0.3787357702099043	-0.3782692492434795	-	False
GCF_002119525.1	-0.2050344637110332	-0.2045679427446083	-0.2041014217781833	-	True
GCF_002119525.1	-0.2014433930544214	-0.2009768720879965	-0.2005103511215716	-	True
GCF_002119525.1	-0.1979670012968922	-0.1975004803304674	-0.1970339593640424	-	True
GCF_002119525.1	-0.0287111532734521	-0.0282446323070272	-0.0277781113406023	-	False
GCF_002119525.1	0.8079241404990667	0.8084042949324108	0.8088844493657552	-	False
GCF_002119545.1	0.0200453973623826	0.0205024336001733	0.0209594698379641	+	False
GCF_002119545.1	0.3403989408067396	0.3408559770445305	0.3413130132823211	+	False
GCF_002119545.1	-0.278815805800273	-0.2783781344824085	-0.2779404631645441	-	False
GCF_002119545.1	-0.2185874947829127	-0.2181498234650483	-0.2177121521471839	-	True
GCF_002119545.1	-0.2155266156050129	-0.2150889442871484	-0.214651272969284	-	True
GCF_002119545.1	-0.1170827176230386	-0.1166450463051742	-0.1162073749873097	-	True
GCF_002119545.1	-0.1141222321237211	-0.1136845608058566	-0.1132468894879922	-	True
GCF_002119545.1	-0.0894586637488578	-0.0890209924309934	-0.088583321113129	-	True
GCF_002119545.1	-0.0864863340515053	-0.0860486627336408	-0.0856109914157764	-	True
GCF_002119545.1	-0.0529525893672942	-0.0525149180494297	-0.0520772467315653	-	False
GCF_002119545.1	-0.0281688869837903	-0.0277312156659259	-0.0272935443480615	-	False
GCF_002119545.1	-0.9419820419397412	-0.9415443706218768	-0.9411066993040124	-	False
GCF_002119565.1	0.0197924341449146	0.020243689547913	0.0206949449509114	+	False
GCF_002119565.1	0.3360939774267625	0.3365452328297609	0.3369964882327594	+	False
GCF_002119565.1	-0.2822167670482117	-0.2817737561727513	-0.2813307452972911	-	False
GCF_002119565.1	-0.2212536751063283	-0.220810664230868	-0.2203676533554077	-	True
GCF_002119565.1	-0.2181554534296235	-0.2177124425541632	-0.2172694316787029	-	True
